gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Dsn1,12.7871315000288,0.0401410441526296,0.172190877727399,0.3789143231617,0.993518557544854
Bola1,11.3070946534606,0.0401400794182369,0.174368798293115,0.373945603913287,0.993518557544854
Keap1,34.7268166796924,0.0401175494528702,0.142183210953801,0.427276855359024,0.993518557544854
Adamts10,9.66021443188185,0.0401131898891187,0.183683087856784,0.355063629346508,0.993518557544854
Kif2a,34.4098076032837,0.0401014856057271,0.142672922479642,0.427348498414879,0.993518557544854
Osbpl1a,5.32511389891781,0.0400732852541973,0.221071417465145,0.319896334220492,0.993518557544854
Vwa9,30.719876916021,0.0400688238314959,0.148816018522506,0.424154304687338,0.993518557544854
Alas1,14.7910451630071,0.0400349799609835,0.165359866241489,0.395770674952857,0.993518557544854
Poldip2,31.9294177582311,0.0400332173601565,0.143933281094032,0.427659367839979,0.993518557544854
Rab11b,15.4605727294053,0.0400239698090162,0.163360510322573,0.400387675282064,0.993518557544854
Skp1a,164.45671146299,0.0399659305763608,0.11518599369147,0.389174002976445,0.993518557544854
Gale,9.14653065647822,0.0399535508283921,0.181654220691211,0.360234230903019,0.993518557544854
Mlh1,17.2858080249749,0.0399530609219824,0.161527935454126,0.405010007133977,0.993518557544854
Gtf3a,39.9064243582358,0.039942413714069,0.137215591430989,0.4282903827068,0.993518557544854
Foxo4,15.1254406831336,0.0399197951352845,0.164350122752017,0.399094339059684,0.993518557544854
Ndufa12,87.4192574445168,0.0399155204757496,0.118341871624886,0.398966610250565,0.993518557544854
Smpd4,16.2783594802286,0.0398311129694207,0.164382439892363,0.399810875052411,0.993518557544854
Ctbp1,160.226637192774,0.0397639540005935,0.101602234549842,0.336941827042587,0.993518557544854
Trip13,15.9447334339823,0.0397111358181171,0.165313214393643,0.398753294582484,0.993518557544854
Rplp2-ps1,9.4740866460523,0.0397004174821311,0.179593684978851,0.366510450522287,0.993518557544854
Zbtb12,17.6329144177012,0.0396574459354062,0.161013475706745,0.408766279329755,0.993518557544854
Tuba1a,23.9911364052889,0.0396548566728248,0.172213534686371,0.383104404177655,0.993518557544854
Tmem121,33.0748593549167,0.0396503867234071,0.165975048172074,0.397765111786246,0.993518557544854
Hsd17b12,74.7484431272952,0.0396136004248274,0.126541334686825,0.420363350969266,0.993518557544854
Sertad2,5.66809417509816,0.0396008780730366,0.213856353853385,0.326954072318434,0.993518557544854
Mrpl48,25.0749127873077,0.0396008176806281,0.153498300485485,0.422919687796882,0.993518557544854
Csad,9.47860813236417,0.0395645341504302,0.179545244206871,0.367795184126719,0.993518557544854
Polr2k,22.4534509796635,0.0395494230230303,0.152966479073035,0.424169818281573,0.993518557544854
Ppa2,24.9214893254809,0.0395374265289914,0.150921057987291,0.426956832156084,0.993518557544854
Lgals3bp,17.3352157718891,0.0395125502015365,0.173567561678458,0.381237561049261,0.993518557544854
Copb2,88.5295500161174,0.0395112655170692,0.12057572409743,0.409283511395188,0.993518557544854
Pif1,9.78848527305395,0.0394914992556341,0.187649008029464,0.353687183685674,0.993518557544854
Psma5,61.3164677857633,0.0394690850214087,0.128583477521382,0.425120095860323,0.993518557544854
Def6,85.0938911894274,0.0394615195411003,0.116481688735924,0.39896347151772,0.993518557544854
Mrpl37,47.0307755699562,0.0393675115837558,0.13606329413031,0.433598312976892,0.993518557544854
Dyrk4,5.97247000340126,0.0393441229404507,0.256784041163138,0.32800407546848,0.993518557544854
Acadvl,21.4404458364158,0.0393416834212241,0.155153621855808,0.422767716674348,0.993518557544854
Arhgef39,13.4500608208343,0.0393279808342862,0.170030115973972,0.391109260213011,0.993518557544854
Fkbp4,138.676103304807,0.0393241667200723,0.108354196355074,0.372648787095336,0.993518557544854
Asap1,29.4219865939984,0.0393234886604899,0.145667686157386,0.43375932780561,0.993518557544854
Shcbp1,27.0350391539978,0.0392236654629609,0.16397451230899,0.406203971131366,0.993518557544854
Rpf2,25.2736028231047,0.0391903631981694,0.150330512830323,0.430965440067387,0.993518557544854
1110059E24Rik,25.59208289232,0.039164666334983,0.149908020623877,0.431687172154523,0.993518557544854
D19Bwg1357e,30.9336171343099,0.0391584236844982,0.146039751151659,0.435145361337647,0.993518557544854
Mut,19.2753177827867,0.0391452375625974,0.157066659177541,0.421277715203831,0.993518557544854
Gemin7,50.0290264271651,0.0390699520799326,0.132583204044345,0.43412656920879,0.993518557544854
Trap1,65.0166701643142,0.0390677529571802,0.124805833364853,0.423275128174242,0.993518557544854
Wee1,19.5964210617024,0.0390504202215006,0.162134791461106,0.411894462137821,0.993518557544854
Pnn,49.0532718461193,0.0390451457398852,0.133473121917506,0.435175730561742,0.993518557544854
Card11,13.6287762573722,0.0390406732351301,0.173172917447686,0.38633343058579,0.993518557544854
Tac4,25.896262065482,0.0390272899726625,0.159553909481705,0.417566706485867,0.993518557544854
Mrps36,16.1309452877537,0.0389999601126117,0.161786037390711,0.413119696617286,0.993518557544854
Nxn,5.64167477989407,0.0389073142101581,0.213801555710407,0.333270290684969,0.993518557544854
Tbp,32.2266173671119,0.0388969240333202,0.144202069943612,0.438746466784313,0.993518557544854
Serbp1,125.994810580987,0.0388440170442389,0.113551836241419,0.397251688002687,0.993518557544854
Arpc1a,49.1627019989134,0.0387748203244857,0.136185383695676,0.439806215957811,0.993518557544854
Cox16,30.2480271998279,0.0387577585000385,0.147502902323437,0.437987966692722,0.993518557544854
Impa2,29.8984501048068,0.0387424735672752,0.14805998540637,0.437650075549511,0.993518557544854
Wdr18,18.6172723703239,0.0387187951251854,0.158643484657404,0.422268453714116,0.993518557544854
Wiz,18.6293369655983,0.038694244640613,0.158827687421147,0.422133808667415,0.993518557544854
BC004004,33.5611510135963,0.0386641676551213,0.142209031080112,0.441756581221695,0.993518557544854
Rpain,12.9771856150515,0.0386156758933687,0.168304541044972,0.401626661780379,0.993518557544854
Eml4,42.0362857099957,0.038602088064974,0.13798829326978,0.442292409539368,0.993518557544854
Slc35b2,33.5629474038182,0.0385997804962485,0.142071847224265,0.442438830359758,0.993518557544854
Taf15,97.6473480156525,0.0385883387011396,0.123961497966887,0.427032313051968,0.993518557544854
Zfp523,10.474110170241,0.0385234344862024,0.174473484334833,0.388021148294269,0.993518557544854
Lars2,11.626877931196,0.0385103524969945,0.173461677235505,0.39045207343732,0.993518557544854
Abca7,9.15972714766365,0.0384762171885584,0.182177588855334,0.37229555011346,0.993518557544854
Dxo,16.127386881797,0.0384266981158962,0.162259446604229,0.417397008018598,0.993518557544854
Orc5,13.298879885178,0.0383874331302345,0.167253254092887,0.406219201504091,0.993518557544854
Spcs2,61.665547973171,0.038262200861166,0.124240500546144,0.431238597890867,0.993518557544854
Vrk1,20.7640934702149,0.0382390590086236,0.157002355152731,0.429959559799193,0.993518557544854
Rdh10,14.5864800363574,0.0382206645516434,0.197527147655628,0.351937589960437,0.993518557544854
Srf,24.1121088925557,0.0381413469387925,0.150285291544235,0.44122757811063,0.993518557544854
Mrps15,51.67479950472,0.0381320929793887,0.130667297387238,0.442234690842444,0.993518557544854
Wdr74,34.7780657561573,0.0380495034604366,0.143512221799169,0.447583429872011,0.993518557544854
Gcdh,11.1416182784429,0.037925018678145,0.171743788171676,0.399829219630243,0.993518557544854
Ddx49,24.7744801253718,0.037903193680206,0.148991836961349,0.445037150599453,0.993518557544854
Farp1,7.31058921575532,0.0378431889009684,0.190769163038479,0.363848196167805,0.993518557544854
Ivns1abp,120.918451269042,0.0377312637300808,0.140396634248487,0.451591441020872,0.993518557544854
Wdr41,11.2981783636273,0.0377263096112949,0.175173195414422,0.393767090795966,0.993518557544854
Nup43,17.4497083831027,0.0376976559805893,0.158823787378267,0.431619663305935,0.993518557544854
Asb1,6.66165227284878,0.0376724141489269,0.198702328899811,0.355802473126171,0.993518557544854
Mvd,8.32127631476241,0.0376706433098325,0.182323011872517,0.379413543658067,0.993518557544854
Gsg2,10.4654924664521,0.0376214716963682,0.174956454071886,0.395232511022867,0.993518557544854
Tmem109,21.4306090365623,0.0375815889886193,0.155914591175917,0.438295935249795,0.993518557544854
Snhg9,10.2927791477706,0.0375702520775096,0.229169239650336,0.341829938495546,0.993518557544854
Farsa,56.5470955526518,0.037550816410629,0.128219366190232,0.445633472885189,0.993518557544854
Hdac9,10.9800521220573,0.0375252266496648,0.176905926048255,0.391808807819362,0.993518557544854
Ubxn2a,12.9631770796509,0.0375011354362037,0.1686661861408,0.411121119225369,0.993518557544854
Isy1,52.6628253573188,0.0374899621442002,0.130092026787486,0.448635421487622,0.993518557544854
